blocks,axes
"[[-32490.87329164469, 30503.43293907103, 33819.539515756325, -199.99999999826525, 199.9999999991966, 159.01255135087067], [-34642.264289327344, 34653.0903095472, 33755.83555455273, -179.99999999124705, 179.9999999984291, 159.3853764782506]]","(1:1:12,)"
"[[-33490.87329163602, 31503.432939067014, 34614.60227251068, -200.0000000040108, 200.0000000022909, 158.4884727322725], [-35542.26428928358, 35553.090309539344, 34552.76243694398, -180.0000000779518, 180.00000004801927, 159.11338925513516]]","(1:1:12,)"
"[[-34490.87329165607, 32503.43293907847, 35407.044636172046, -199.99999999078196, 199.9999999793283, 158.15763846956088], [-36442.26428967334, 36453.09030977944, 35348.32938321966, -179.99999985548925, 179.99999965822664, 158.93778835952148]]","(1:1:12,)"
"[[-35490.873291609976, 33503.432938975115, 36197.83282851985, -200.00000000746823, 200.00000000922012, 157.98869426005464], [-37342.264288950784, 37353.090308070576, 36143.01832501726, -180.00000009848742, 180.00000013016998, 158.8428966694413]]","(1:1:12,)"
"[[-36490.87329164732, 34503.432939021215, 36987.77629982012, -199.99999999809805, 199.99999999363084, 157.94205968957866], [-38242.26428944322, 38253.090308721425, 36937.23280836447, -179.99999999006496, 179.99999992077198, 158.80892400787553]]","(1:1:12,)"
"[[-37490.87329163781, 35503.43293898937, 37777.48659826801, -199.99999999904975, 199.99999999808648, 157.97931210987525], [-39142.26428939355, 39153.090308325285, 37731.277428403846, -179.9999999962655, 179.99999996033824, 158.81665908145962]]","(1:1:12,)"
"[[-38490.873291633055, 36503.4329389798, 38567.38315881739, -200.00000000006827, 199.9999999974633, 158.07834349569094], [-40042.26428937488, 40053.09030812698, 38525.36072381114, -179.99999999517001, 179.99999995932959, 158.85504790902834]]","(1:1:12,)"
"[[-39490.8732916334, 37503.43293896712, 39357.77487629585, -199.9999999985605, 199.99999999836504, 158.21556222142362], [-40942.26428935073, 40953.09030792363, 39319.63596335628, -179.99999999573245, 179.99999995974366, 158.91229470993773]]","(1:1:12,)"
"[[-40490.8732916262, 38503.43293895894, 40148.85268740297, -199.99999999919996, 199.99999999919237, 158.3707994934153], [-41842.26428932939, 41853.09030772235, 40114.19743690597, -179.99999999529777, 179.9999999802513, 158.9783151202114]]","(1:1:12,)"
"[[-41490.8732916222, 39503.4329389549, 40940.70668487005, -199.9999999993849, 199.99999999943478, 158.53200716316988], [-42742.26428930588, 42753.090307623606, 40909.08901250702, -179.99999999924924, 179.99999998044038, 159.04708509915088]]","(1:1:12,)"
