blocks,axes
"[[-0.0009510696600828701, -0.022004334025051326, 4.115334203628681e-5], [-0.00047553483002181273, -0.01100216701231252, 2.05766710953402e-5]]","(1:1:6,)"
"[[0.00078247574585623, 0.0006613176310463791, 3.429936920409935e-5], [0.0003912378729450404, 0.0003306588157194713, 1.7149684676375496e-5]]","(1:1:6,)"
"[[0.002040222898942159, 0.016788459027967148, 2.80363287516453e-5], [0.0010201114494848256, 0.008394229514162166, 1.4018164448581993e-5]]","(1:1:6,)"
"[[0.0028382457500676305, 0.02689836037584326, 2.235170427399887e-5], [0.0014191228750807827, 0.013449180188063759, 1.1175852177433205e-5]]","(1:1:6,)"
"[[0.0033702910426950195, 0.03349271226347959, 1.764123562854599e-5], [0.0016851455213891806, 0.016746356131865918, 8.820617856701543e-6]]","(1:1:6,)"
"[[0.003623099199591733, 0.036609558102256794, 1.3694073132705939e-5], [0.001811549599832948, 0.018304779051237407, 6.84703661291895e-6]]","(1:1:6,)"
"[[0.004060860946845911, 0.029810474307037357, 1.026697295506057e-5], [0.00222247624495723, 0.011805868826440894, 5.133486668961298e-6]]","(1:1:6,)"
"[[0.003908442940156524, 0.02863604717025168, 7.817150848709273e-6], [0.002135600888453613, 0.011218031925548768, 3.9085755915939465e-6]]","(1:1:6,)"
"[[0.0036395025311207847, 0.026165190945530103, 5.946397569965891e-6], [0.0019904638267316654, 0.009982017138643969, 2.9731989300469124e-6]]","(1:1:6,)"
"[[0.004415221707345822, 0.005280502634019629, 4.297696056686775e-6], [0.002885036817845629, -0.00829252038763352, 2.148848299863549e-6]]","(1:1:6,)"
"[[0.003956594575420808, 0.0018028196025190839, 3.474198204372829e-6], [0.0026180985517041634, -0.010033560658447953, 1.7370993425086109e-6]]","(1:1:6,)"
"[[0.003482689558017102, -0.0017461001749598318, 2.968453477645719e-6], [0.0023435195648519496, -0.011810089994269385, 1.4842269487108693e-6]]","(1:1:6,)"
"[[0.004082142363448556, -0.01808333207565565, 2.3872041613997127e-6], [0.003105814259448373, -0.026225230900557943, 1.1936022734985742e-6]]","(1:1:6,)"
"[[0.0035881774913351936, -0.021596664840837478, 2.4670675421019597e-6], [0.0027996952665335466, -0.02798535317259208, 1.2335339397250186e-6]]","(1:1:6,)"
"[[0.0031225830118233873, -0.02462704865055195, 2.6531170657970847e-6], [0.0025077586753905574, -0.02950379772730042, 1.326558676666483e-6]]","(1:1:6,)"
"[[0.006978610846411161, -0.1991429308868852, 2.555470800731181e-6], [0.006554745382070875, -0.20446173424108707, 1.2777350944182694e-6]]","(1:1:6,)"
"[[0.0060379129765861725, -0.18973332412612293, 2.9996007542411757e-6], [0.005743812121063583, -0.1939359365066168, 1.4998001000195749e-6]]","(1:1:6,)"
"[[0.005174012377142494, -0.1796641199079374, 3.4202406441836316e-6], [0.004991307134795931, -0.18307923841816007, 1.7101200726409057e-6]]","(1:1:6,)"
"[[0.03154488363271316, -1.066881931791802, 3.4446124453085247e-6], [0.031269213869634875, -1.0636945698708018, 1.7223062781328685e-6]]","(1:1:6,)"
"[[0.027815769529443108, -1.0048452011489697, 3.943768879808704e-6], [0.027682894938101905, -1.0032492303372789, 1.971884495670707e-6]]","(1:1:6,)"
"[[0.024331798007292096, -0.942163099917217, 4.35902346267938e-6], [0.024320403483060218, -0.9424756364438761, 2.179511787835123e-6]]","(1:1:6,)"
"[[0.04335188014230947, -1.4835549299910415, 4.3346293875934744e-6], [0.043301409643104465, -1.4817369313110318, 2.16731468554705e-6]]","(1:1:6,)"
"[[0.038384071446358414, -1.3987320671333647, 4.757574906179723e-6], [0.03841481723752681, -1.3982606811425309, 2.3787874437725795e-6]]","(1:1:6,)"
"[[0.03372139091031008, -1.3132269590697951, 5.08001921445851e-6], [0.033822090117099204, -1.314435536839411, 2.5400095997607046e-6]]","(1:1:6,)"
"[[0.04747372811276471, -1.628119443725248, 4.9581225309507955e-6], [0.047495279721604736, -1.627002280990247, 2.4790614364012793e-6]]","(1:1:6,)"
"[[0.04209939380893165, -1.535561149582487, 5.279013486267512e-6], [0.04216844449698499, -1.535608042679394, 2.6395068997954097e-6]]","(1:1:6,)"
"[[0.03704189967147282, -1.4422647625485618, 5.504036709708297e-6], [0.03715526726869947, -1.4438362198757564, 2.7520185030876285e-6]]","(1:1:6,)"
