blocks,axes
"[[-0.001159162890084129, 0.0017051857551070183, -0.001666302275383609], [-0.0005795814450453365, 0.0008525928775527708, -0.000779458661622809]]","(1:1:6,)"
"[[-0.0011333435134344863, 0.0016876256206440996, -0.0014664866436526812], [-0.0005666717567159841, 0.000843812810324189, -0.000673852182559902]]","(1:1:6,)"
"[[-0.0010566223664507507, 0.0016010706136240925, -0.0012596464126683386], [-0.0005283111832242337, 0.0008005353068140323, -0.0005737306914602934]]","(1:1:6,)"
"[[-0.0009487780766682879, 0.0014639499553564543, -0.0010491896710924165], [-0.0004743890383331017, 0.0007319749776800746, -0.00047180110094291927]]","(1:1:6,)"
"[[-0.0008308543158550304, 0.0013008952562969351, -0.0008594361782092665], [-0.00041542715793149043, 0.0006504476281436407, -0.0003835548917526755]]","(1:1:6,)"
"[[-0.0006970423512363789, 0.0011190396735608055, -0.0006668869140865457], [-0.00034852117562180705, 0.0005595198367760071, -0.0002898441951684179]]","(1:1:6,)"
"[[-0.0005659139887025358, 0.0009364537558193084, -0.0004953437955462563], [-0.00028295699435454755, 0.00046822687790568844, -0.000206636692535011]]","(1:1:6,)"
"[[-0.00014002296819189085, -0.009872322939947302, -0.00036389150506181467], [8.246987594708105e-5, -0.01015362162387149, -0.00014804915361483405]]","(1:1:6,)"
"[[-6.19023927256535e-5, -0.009367672678688975, -0.00023550013197169627], [0.00010458879084345827, -0.009611748125719166, -8.611283553083273e-5]]","(1:1:6,)"
"[[4.0511881906420205e-6, -0.008844157742646418, -0.00013099926989178822], [0.0001216205244002523, -0.009060387493042867, -3.612185969253002e-5]]","(1:1:6,)"
"[[0.0011145014731212077, -0.043169143273012155, -5.708487153748527e-5], [0.0011827605656649916, -0.04298766384637601, -3.4242656540232876e-6]]","(1:1:6,)"
"[[0.0010386756805134555, -0.04056702587012368, 7.719239926172502e-6], [0.0010753506815019353, -0.0404988183240613, 2.6884835853776166e-5]]","(1:1:6,)"
"[[0.0009574397171941373, -0.03793867711564861, 5.472853765610044e-5], [0.0009693228044007417, -0.03799663233687145, 4.829646869046798e-5]]","(1:1:6,)"
"[[0.001742102188761893, -0.05889320680357701, 8.345243772798727e-5], [0.0017252086537798011, -0.058673343182201326, 6.004006364088968e-5]]","(1:1:6,)"
"[[0.0015778135551689297, -0.05534875838458395, 0.00010408739319724855], [0.001548163546021264, -0.05527915070812244, 6.832278188783746e-5]]","(1:1:6,)"
"[[0.0014150218789294017, -0.051768105440051, 0.00011457411700342833], [0.001377447997718765, -0.051866549013198614, 7.153134224566578e-5]]","(1:1:6,)"
"[[0.001952936503692115, -0.06349761269021963, 0.00011632157194587461], [0.001900775230916161, -0.06337585132866652, 7.035670027440884e-5]]","(1:1:6,)"
"[[0.001750627941654859, -0.059724777189619806, 0.0001135174212374997], [0.0016969262392557034, -0.059734257884768785, 6.69220125478862e-5]]","(1:1:6,)"
"[[0.0015546235441237454, -0.05590274746751765, 0.00010653707518288941], [0.0015022687681910708, -0.056067735162490626, 6.139920314171863e-5]]","(1:1:6,)"
"[[0.0019125781818111634, -0.061465009784978944, 9.670176991387409e-5], [0.0018537261252806086, -0.061440140016958675, 5.448742304599012e-5]]","(1:1:6,)"
"[[0.0017061531951972648, -0.05786737917894583, 8.55686314572045e-5], [0.0016508042944368905, -0.05793717262492204, 4.687534514607896e-5]]","(1:1:6,)"
"[[0.0015083835907533593, -0.05420888877259506, 7.384000768570519e-5], [0.0014580740243214294, -0.054403452821332486, 3.896551854919164e-5]]","(1:1:6,)"
"[[0.001738662967817771, -0.05581095262887736, 6.225273385845781e-5], [0.0016856868188581456, -0.05583873602733548, 3.1126366923027985e-5]]","(1:1:6,)"
"[[0.0015479088579206381, -0.052589820012368255, 5.12701949670864e-5], [0.0014996089720709703, -0.052677984473622694, 2.563509747794105e-5]]","(1:1:6,)"
"[[0.001366219267936114, -0.04930088393748134, 4.1260935907468097e-5], [0.0013233974656081766, -0.04948303781760721, 2.0630467948793925e-5]]","(1:1:6,)"
"[[0.001507859045527414, -0.04850202934829011, 3.240455475083766e-5], [0.0014638096923766438, -0.048541009845161014, 1.620227736209024e-5]]","(1:1:6,)"
"[[0.0013422203835483319, -0.04573515004005299, 2.4818819258031148e-5], [0.0013021194448436322, -0.04580957169343233, 1.2409409616749862e-5]]","(1:1:6,)"
"[[0.0011848491057202383, -0.042899302869959736, 1.848204243483135e-5], [0.001149201259118629, -0.043043394501576404, 9.241021206212071e-6]]","(1:1:6,)"
"[[0.0012661567075269598, -0.04077488391904455, 1.3206663383513566e-5], [0.0012296670829969002, -0.04080093985984922, 6.603331690647304e-6]]","(1:1:6,)"
"[[0.001128369910335487, -0.03846914348811004, 9.208723855068835e-6], [0.0010944899623190649, -0.03851520138702718, 4.6043619267201394e-6]]","(1:1:6,)"
"[[0.0009974849910236695, -0.03609826881669665, 6.168225042541712e-6], [0.0009666619020145395, -0.036196681398241205, 3.0841125207470915e-6]]","(1:1:6,)"
"[[0.0010386402925486636, -0.03336788889919967, 3.7167664002242403e-6], [0.001007064838042587, -0.033373122024403706, 1.858383198680619e-6]]","(1:1:6,)"
"[[0.0009275913336128027, -0.0314923390675616, 2.3017286273174642e-6], [0.0008973497042562264, -0.031509163873934855, 1.1508643125195012e-6]]","(1:1:6,)"
"[[0.0008219471091209776, -0.029558838851050484, 1.4295673472790265e-6], [0.0007935238702366679, -0.02961605525051971, 7.147836727852666e-7]]","(1:1:6,)"
"[[0.0008371839328422492, -0.02668460467950059, 6.741685434491382e-7], [0.0008081350288288814, -0.026671311248061724, 3.370842720157317e-7]]","(1:1:6,)"
"[[0.0007498775972432201, -0.025190314052874585, 6.947720504587553e-7], [0.0007212018545149679, -0.02518445874845767, 3.473860257472413e-7]]","(1:1:6,)"
