blocks,axes
"[[889.7037425136854, -916.9514317709743, -903.7071689255455, -3.7263657532499135, 7.8673464266764315, -3.591314209362159], [944.5816894128587, -831.8962867134628, -921.0475076268034, -3.2176561049041235, 7.29769036223892, -3.4659266664065993]]","(1:1:12,)"
"[[871.0719137474358, -877.6146996375921, -921.6637399723563, -3.9577656620904467, 8.25185729869089, -2.924662005800773], [928.4934088883381, -795.4078349022682, -938.3771409588364, -3.3209099050424764, 7.494600610661909, -2.881772297468011]]","(1:1:12,)"
"[[851.2830854369836, -836.3554131441376, -936.2870500013602, -4.054261805802389, 8.458744421931723, -2.3497384046200773], [911.8888593631257, -757.9348318489587, -952.7860024461764, -3.356707823408914, 7.602656211971193, -2.364354304215889]]","(1:1:12,)"
"[[831.0117764079716, -794.061691034479, -948.0357420244605, -4.049173195457427, 8.529321671961156, -1.8582335217234], [895.1053202460811, -719.9215507891026, -964.6077739672559, -3.341709402287701, 7.642514090204123, -1.9095191016867894]]","(1:1:12,)"
"[[810.7659104306845, -751.4150826746733, -957.3269096330775, -3.9746185930134654, 8.504408056573473, -1.4415715443624253], [878.3967732346425, -681.708980338082, -974.1553694756898, -3.2919740594180427, 7.634583735640358, -1.5131857681679521]]","(1:1:12,)"
"[[790.8928174656171, -708.8930423918059, -964.5347673548897, -3.849106367192098, 8.407373377744065, -1.0923278173995656], [861.9369029375523, -643.5360616598803, -981.7212983165296, -3.2167560159326434, 7.590550035776456, -1.1713619596209812]]","(1:1:12,)"
"[[771.6472856296566, -666.8561755030856, -969.9964064418875, -3.6922298485694025, 8.263727853138294, -0.8030507198988857], [845.853122857889, -605.583311480998, -987.5781081146345, -3.125851973903065, 7.523168086080326, -0.8803228520626176]]","(1:1:12,)"
"[[753.1861363868096, -625.5375362373942, -974.0116600413819, -3.5206633583021683, 8.095677466522346, -0.565464924498621], [830.2238629883738, -567.9674710505964, -991.9797223749475, -3.0275991307026526, 7.443540865196705, -0.6366244677574135]]","(1:1:12,)"
"[[735.5828195952988, -585.0591489047824, -976.838984663875, -3.3442730468491395, 7.916481450929479, -0.3750379891036314], [815.0858673348605, -530.7497667246129, -995.1628447137346, -2.926930598367223, 7.358297976530305, -0.43696720769372854]]","(1:1:12,)"
"[[718.8614543610531, -545.4767416501351, -978.7141746093931, -3.171704265591243, 7.7381189317257855, -0.2257390536945093], [800.4512143430244, -493.9582768419613, -997.3476807522032, -2.8281690894048817, 7.2734289697787515, -0.278336257736438]]","(1:1:12,)"
"[[703.002933033097, -506.78614699150614, -979.8428698778657, -3.008942859135742, 7.56920146627823, -0.11062975742996206], [786.310368896, -457.59113199306756, -998.7393620408855, -2.7343075629480413, 7.193239610766637, -0.1579134064311642]]","(1:1:12,)"
"[[687.9582187374183, -468.940139660115, -980.3960186650155, -2.859699286080983, 7.415245663386608, -0.026224824750314416], [772.6388310812598, -421.6249339392344, -999.5289290730412, -2.647201285135735, 7.120488191161532, -0.07303196091735348]]","(1:1:12,)"
"[[673.6597223070133, -431.86391134318194, -980.527142788767, -2.7259979503024576, 7.279591586360365, 0.03249594215967991], [759.4028246555812, -386.02249298342673, -999.8940888776281, -2.5678624947564948, 7.0568447300124335, -0.021182073425867295]]","(1:1:12,)"
"[[660.029732555501, -395.4659534113801, -980.3646630779687, -2.6081089649676152, 7.163194223410363, 0.0723584224286914], [746.5635121817987, -350.73826933336454, -999.9999992447574, -2.4964262852556742, 7.002786708945699, 0.0010265879649228454]]","(1:1:12,)"
