blocks,axes
"[[734.4365191881643, -581.181738723052, -965.6693339090302, -3.37753509310754, 7.994463997203615, -0.8339078484887573], [813.8443730035332, -526.753471144317, -985.3307333890908, -2.957059545189631, 7.432389570005707, -0.9098171757461966]]","(1:1:12,)"
"[[717.5488437226267, -541.209418737034, -969.838873151474, -3.204430506402738, 7.815844547570867, -0.6340437095416906], [799.0590752775851, -489.5915232942885, -989.8798192678219, -2.857910690981589, 7.347438485300364, -0.6939207394293315]]","(1:1:12,)"
"[[701.526691190613, -502.1301959991796, -973.0090916991825, -3.04094578771591, 7.6464346537183605, -0.4663357156803766], [784.7695218226771, -452.85433086778664, -993.3494229649685, -2.7635680260328863, 7.267048888867714, -0.510486039641799]]","(1:1:12,)"
"[[686.3219622520334, -463.8980227305878, -975.3407702775844, -2.890856683879748, 7.491830086159746, -0.3282085677097897], [770.9516816925127, -416.5190864234481, -995.9018531631775, -2.6759194609524823, 7.194018653095294, -0.3577262677570958]]","(1:1:12,)"
"[[671.8676788326346, -426.43887229978907, -976.9818131161334, -2.7562519949757784, 7.355449943143482, -0.2164276304927718], [757.5720843877502, -380.5489931579716, -997.690484501963, -2.596009432984709, 7.130057314365863, -0.2340245995606019]]","(1:1:12,)"
"[[658.0864188577557, -389.66162258407167, -978.0639512685972, -2.6374530431565884, 7.238312627105583, -0.1272993723704349], [744.5920372228267, -344.8987065861423, -998.860607499766, -2.5239986404203982, 7.075674061283816, -0.1378578093728922]]","(1:1:12,)"
"[[644.8991536419727, -353.47005944854374, -978.7004481304493, -2.534817568935668, 7.141430062537571, -0.058934627772912154], [731.9720440207246, -309.5203362797232, -999.5498965466305, -2.460065990741613, 7.031374843609182, -0.06775160518351518]]","(1:1:12,)"
"[[632.2250657972944, -317.76290913585586, -978.9951212693139, -2.447359074837125, 7.063944053303984, -0.008458773626570049], [719.6717140670165, -274.3634620616773, -999.8886545725481, -2.4037182724464863, 6.9967305509164355, -0.022268886702346398]]","(1:1:12,)"
"[[619.9882704231088, -282.4431888693359, -979.0374151374468, -2.373194161047787, 7.003678461785514, 0.027396302578175498], [707.6531227047841, -239.37980930709512, -999.9999990060599, -2.3540138228751433, 6.970653102166089, 2.7357649496143055e-7]]","(1:1:12,)"
"[[608.1222996178699, -247.42479656040837, -978.900433624556, -2.3113133058128406, 6.959628871889889, 0.050597220480919844], [695.8830535904084, -204.52654379626466, -999.9999976381774, -2.3104479184073687, 6.952640277210184, 0.011902181183827541]]","(1:1:12,)"
