blocks,axes
"[[-62078.2186570867, 62503.43293926054, 59192.37604988496, -147.67185255580566, 199.99999999993503, 158.9036142419955], [-62040.5500339453, 63453.09031290105, 59192.396023988535, -148.4041547028976, 179.99999999705682, 158.89576359835314]]","(1:1:12,)"
"[[-62816.577919865726, 63503.432939260216, 59986.894121094934, -147.03932788880178, 200.0000000002039, 158.86388438684963], [-62782.570807459786, 64353.09031288633, 59986.8748419803, -147.86612987090746, 179.9999999970792, 158.85842156187823]]","(1:1:12,)"
"[[-63551.774559309735, 64503.432939261234, 60781.21354302918, -146.53264158756357, 200.00000000008248, 158.82453200397345], [-63521.901456814325, 65253.090312871725, 60781.166949789695, -147.3925627898945, 179.9999999973188, 158.8210336959008]]","(1:1:12,)"
"[[-64284.43776724755, 65503.43293926165, 61575.336203049046, -146.1099765944166, 200.00000000072393, 158.78547270892798], [-64258.8642707638, 66153.09031285832, 61575.2721182692, -146.9625403657735, 179.99999998960337, 158.78355785980742]]","(1:1:12,)"
"[[-65014.987650219635, 66503.43293926527, 62369.26356659368, -145.74862898874852, 199.4433419083636, 158.7466679323518], [-64993.676972592664, 67053.09031280634, 62369.18990756823, -146.5638332291988, 179.9756632585223, 158.74597482120907]]","(1:1:12,)"
"[[-65743.73079516337, 67500.64964880708, 63162.996906255445, -145.42913986265694, 197.3525864065017, 158.708025718085], [-65726.49613873866, 67952.96862909895, 63162.919781674274, -146.1858371135217, 179.18352852455158, 158.70823865501362]]","(1:1:12,)"
"[[-66470.87649447666, 68487.41258083959, 63956.53703484587, -145.1370400212274, 194.34750162442933, 158.66942942975072], [-66457.42532430627, 68848.88627172171, 63956.46097494934, -145.8213180650507, 177.93347910240018, 158.67029109671074]]","(1:1:12,)"
"[[-67196.5616945828, 69459.15008896173, 64749.88418199462, -144.86289418630514, 190.79241298248704, 158.6308164483882], [-67186.53191463153, 69738.55366723372, 64749.812430432896, -145.46555908911407, 176.4076769545158, 158.63210089119448]]","(1:1:12,)"
"[[-67920.87616551432, 70413.11215387417, 65543.03826423656, -144.59674183331614, 187.03661264700463, 158.59209719887312], [-67913.8597100771, 70620.5920520063, 65542.97293488886, -145.11358056847507, 174.78076741855452, 158.5936233059668]]","(1:1:12,)"
"[[-68643.8598746809, 71348.29521710919, 66335.99875023092, -144.33052265865265, 183.34915786365767, 158.55317808307132], [-68639.42761291948, 71494.49588909907, 66335.9410514187, -144.7613529970194, 173.18727837406257, 158.5548115977163]]","(1:1:12,)"
"[[-69365.51248797416, 72265.04100642748, 67128.76464064627, -144.05731986091942, 179.89618575045796, 158.51400636814304], [-69363.23437790458, 72360.43228096938, 67128.71510940729, -144.40541862038012, 171.71027763897217, 158.5156394564709]]","(1:1:12,)"
"[[-70085.79908727876, 73164.52193517977, 67921.33467248699, -143.7722612458015, 176.79682054219896, 158.4745202544963], [-70085.26147100648, 73218.98366916424, 67921.29330668965, -144.04334198836594, 170.40932659182812, 158.47607603957363]]","(1:1:12,)"
"[[-70804.66039350777, 74048.50603789077, 68713.70727375947, -143.47296584152667, 174.10934234977123, 158.4346627907006], [-70805.47818094831, 74071.03030212338, 68713.67368688752, -143.67393326269166, 169.31356455144675, 158.4360929291398]]","(1:1:12,)"
"[[-71522.02522271541, 74919.05274963962, 69505.88058771298, -143.1560015380764, 171.87654387119423, 158.39440075892279], [-71523.84784726177, 74917.59812488062, 69505.85415153322, -143.29547703658187, 168.4443871324353, 158.39567357477398]]","(1:1:12,)"
