blocks,axes
"[[-0.05519924058879278, -0.8107739556473601, -0.0001690923726219881], [-0.027599620294717124, -0.4053869778236998, -8.454618632857053e-5]]","(1:1:6,)"
"[[-0.05409731951953626, -0.8507278672370727, -9.664876673597183e-5], [-0.027048659760079776, -0.42536393361855457, -4.8324383385915266e-5]]","(1:1:6,)"
"[[-0.05124586935131577, -0.8368758238067594, -4.294758936027176e-5], [-0.02562293467570096, -0.418437911903269, -2.1473794732091957e-5]]","(1:1:6,)"
"[[-0.047058505972536656, -0.7897963108459182, 1.8415563222335506e-7], [-0.023529252986294782, -0.3948981554228572, 9.207776182122984e-8]]","(1:1:6,)"
"[[-0.04205834101066965, -0.7188871509119262, 3.093299976833805e-5], [-0.021029170505346417, -0.3594435754558707, 1.5466499835034853e-5]]","(1:1:6,)"
"[[-0.036825508337941515, -0.6363138200074013, 5.026842617920227e-5], [-0.018412754168972083, -0.3181569100037014, 2.513421309973727e-5]]","(1:1:6,)"
"[[-0.031189858649909495, -0.5451721642065723, 6.293696867929508e-5], [-0.015594929324955877, -0.2725860821032867, 3.146848434924728e-5]]","(1:1:6,)"
"[[-0.025698221009676413, -0.4544137190884377, 6.899634118864842e-5], [-0.012849110504839119, -0.2272068595442191, 3.449817060343849e-5]]","(1:1:6,)"
"[[-0.02074779107054647, -0.3711181709310271, 6.978358045934268e-5], [-0.010373895535702376, -0.18555908546555833, 3.489179023637761e-5]]","(1:1:6,)"
"[[-0.015941269622218306, -0.2909693240815753, 6.735083524369379e-5], [-0.007970634811529362, -0.1454846620408288, 3.367541763457038e-5]]","(1:1:6,)"
"[[-0.01168381058860635, -0.2200683140611565, 6.24327571387331e-5], [-0.0058419052947076885, -0.11003415703061688, 3.121637858582198e-5]]","(1:1:6,)"
"[[-0.008178213389043926, -0.161485334386203, 5.610191610927113e-5], [-0.004089106694237032, -0.08074266719308418, 2.8050957871227432e-5]]","(1:1:6,)"
"[[-0.005026364092725223, -0.1094497913826541, 4.879540147212107e-5], [-0.002513182046094552, -0.0547248956913152, 2.4397700568054882e-5]]","(1:1:6,)"
"[[-0.002458830776639604, -0.0671759110434317, 4.127880801445833e-5], [-0.0012294153880693325, -0.03358795552170685, 2.0639403851194125e-5]]","(1:1:6,)"
"[[-0.000535377215014841, -0.03532621036147445, 3.4205046896523376e-5], [-0.0002676886075698051, -0.017663105180746024, 1.7102523075634876e-5]]","(1:1:6,)"
"[[0.0010384309013115706, -0.009321253222387865, 2.7280813692389058e-5], [0.000519215450615202, -0.004660626611201549, 1.3640406506601722e-5]]","(1:1:6,)"
