blocks,axes
"[[0.8192655352871255, -0.12456022645641757, 0.001253227752626902], [0.4125288304920895, -0.11629996466359567, 0.000626613876436265]]","(1:1:6,)"
"[[0.7683110383977478, -0.12133724625980058, 0.0002498796665214802], [0.38739364562017664, -0.11452210128326301, 0.00012493983327319886]]","(1:1:6,)"
"[[0.691947739488274, -0.1182904863687203, -0.0005313077261502247], [0.3490272818098872, -0.11283167562248703, -0.00026565386305591783]]","(1:1:6,)"
"[[0.6037429077557007, -0.11550723738166287, -0.0010630204672517191], [0.3047407469588001, -0.11127420361932654, -0.0005315102336022245]]","(1:1:6,)"
"[[0.5128202759381829, -0.11302816410366359, -0.001372085414821892], [0.25821421943751754, -0.1098699457226041, -0.0006860427072917808]]","(1:1:6,)"
"[[0.41995607448325417, -0.11086256268495169, -0.0015492043288523375], [0.21159925041549554, -0.10862629135396631, -0.000774602164301658]]","(1:1:6,)"
"[[0.3327534021610368, -0.10901712875248085, -0.0016020417523800827], [0.16781560643403245, -0.10754419441896107, -0.0008010208760590855]]","(1:1:6,)"
"[[0.25599642875547846, -0.1074723416718193, -0.001560924062497913], [0.12907737675770706, -0.10661330440495201, -0.0007804620311653707]]","(1:1:6,)"
"[[0.1853662109837003, -0.10619230659708545, -0.0014607537326396924], [0.09358107214190808, -0.10581649081019792, -0.0007303768662351013]]","(1:1:6,)"
"[[0.12531715770652646, -0.10515595996205848, -0.0013200347934260923], [0.06337589086438448, -0.10514271783936342, -0.0006600173966291532]]","(1:1:6,)"
"[[0.07790599858950968, -0.10432690906258209, -0.0011614006588227387], [0.039490192789472585, -0.1045735550522832, -0.0005807003291269742]]","(1:1:6,)"
"[[0.0373954717499298, -0.10366174393595964, -0.0009883255622902785], [0.0190553411656394, -0.1040876012790506, -0.0004941627808717419]]","(1:1:6,)"
"[[0.006264197271611133, -0.10313668290811473, -0.0008179465750733801], [0.003310641737812663, -0.10367246920446209, -0.00040897328727492924]]","(1:1:6,)"
"[[-0.015367505889097246, -0.10271957619655558, -0.0006633578309360975], [-0.007683752945114142, -0.10331280623938856, -0.0003316789153251192]]","(1:1:6,)"
"[[-0.032409312011601174, -0.3774723611681067, -0.0005150707081801849], [-0.016204656006328304, -0.18873618058280414, -0.00025753535396079756]]","(1:1:6,)"
"[[-0.044108215258394215, -0.6289592645132007, -0.0003847361195760377], [-0.022054107629686202, -0.31447963225549025, -0.00019236805966938833]]","(1:1:6,)"
"[[-0.05079366325530033, -0.7689816010930298, -0.0002780839680361657], [-0.025396831628005514, -0.38449080054563883, -0.00013904198347321393]]","(1:1:6,)"
"[[-0.054330641924594955, -0.8430639483368488, -0.00018340059469804223], [-0.02716532096262582, -0.42153197416764193, -9.170029684163339e-5]]","(1:1:6,)"
"[[-0.05481097767079016, -0.8560161694196623, -0.00010696727291936377], [-0.027405488835697916, -0.4280080847091446, -5.348363599428726e-5]]","(1:1:6,)"
"[[-0.052937393160660186, -0.8236215408960734, -5.016463325945009e-5], [-0.026468696580157373, -0.4118107704478292, -2.5082316638227443e-5]]","(1:1:6,)"
"[[-0.04936742837008451, -0.7628682504708663, -3.7052560601292333e-6], [-0.024683714184888805, -0.38143412523525666, -1.8526280411628254e-6]]","(1:1:6,)"
"[[-0.044651049270680546, -0.6834784702504257, 2.9846076006837033e-5], [-0.022325524635206585, -0.3417392351250679, 1.4923037990387816e-5]]","(1:1:6,)"
"[[-0.03945039826211771, -0.5968622315596951, 5.103537025334756e-5], [-0.019725199130989603, -0.29843111577946296, 2.5517685166761584e-5]]","(1:1:6,)"
