blocks,axes
"[[675.0580074596812, -230.09939095215464, -1002.1858581879166, -3.5321029125541274, 8.352014195620653, 0.14399588630814816], [675.1146516344667, -230.180518567218, -999.8094166757522, -3.600876553949092, 8.447103812249887, 0.056284663510409755]]","(1:1:12,)"
"[[657.3974928969105, -188.33931997405136, -1001.4658787563758, -3.467937459334884, 8.316471580451505, 0.17274820886698086], [657.1102688647212, -187.94499950596855, -999.5279933582002, -3.589588127325335, 8.484872897916151, 0.0716550799252558]]","(1:1:12,)"
"[[640.0578056002361, -146.75696207179385, -1000.6021377120409, -3.416824154644079, 8.298692723588264, 0.18758835561322504], [639.1623282280946, -145.5206350163878, -999.169717958574, -3.571836833405999, 8.514173876150304, 0.08002834757444224]]","(1:1:12,)"
"[[622.9736848270156, -105.26349845385253, -999.6641959339747, -3.4701978288465636, 8.425796490286722, 0.1442013222011957], [621.3031440610646, -102.9497656356363, -998.7695762207018, -3.482501148133576, 8.444532233890232, 0.05862942204402889]]","(1:1:12,)"
"[[605.6226956827828, -63.13451600241893, -998.9431893229687, -3.4919767121285052, 8.510006215913142, 0.10528788766234776], [603.8906383203966, -60.72710446618514, -998.4764291104816, -3.4095999162222834, 8.39682946511084, 0.03946733659509492]]","(1:1:12,)"
"[[588.1628121221403, -20.584484922853214, -998.416749884657, -3.484612238857301, 8.554123649531112, 0.07143168269344458], [586.8426387392852, -18.742957140630935, -998.2790924275062, -3.3540575532104873, 8.372685832388067, 0.022833905706214283]]","(1:1:12,)"
"[[570.7397509278537, 22.18613332480235, -998.0595914711897, -3.420307657551612, 8.518512498325347, 0.042987680424984055], [570.0723509732328, 23.120472021309396, -998.1649228989751, -3.3415502520331852, 8.40853059058159, 0.009069505081570797]]","(1:1:12,)"
"[[553.6382126400956, 64.77869581642909, -997.8446530690647, -3.3643290022347574, 8.49403266657713, 0.019704449562729147], [553.3645997130669, 65.16312497421734, -998.1195753735673, -3.324457649006649, 8.438086286406676, -0.0021235188270728195]]","(1:1:12,)"
"[[536.8165676289218, 107.24885914931474, -997.7461308212511, -3.3169384509635926, 8.481222289539337, 0.0012384472464725647], [536.7423114680337, 107.35355640625072, -998.1301929677027, -3.3029929720828117, 8.46156258477295, -0.010916939228450358]]","(1:1:12,)"
"[[520.2318753741039, 149.6549705970114, -997.7399385850188, -3.283867997456153, 8.488398710079542, -0.012798397595505797], [520.2273466076197, 149.66136933011546, -998.1847776638449, -3.2776306333058662, 8.479543986844376, -0.01738655146868218]]","(1:1:12,)"
