blocks,axes
"[[0.002576752929455749, -0.07631419896670992, 0.0004985243956455086], [0.0026149717621747367, -0.07743924259651887, 0.000274340965851949]]","(1:1:6,)"
"[[0.0023837791168082457, -0.07206872692296945, 0.000365593066993073], [0.0023631253151432862, -0.07305258699446143, 0.0002059464161549469]]","(1:1:6,)"
"[[0.0025630687836951343, -0.0768794140215523, 0.0002613205159260815], [0.002425312692855814, -0.07757641007232381, 0.00015334068938989583]]","(1:1:6,)"
"[[0.002328344845916143, -0.07287838549077134, 0.00016887066756850303], [0.0021808717509426835, -0.07340396384247642, 0.00010505409044822679]]","(1:1:6,)"
"[[0.00208466489087519, -0.06867364277441963, 9.570303816429201e-5], [0.0019394262682866075, -0.06912924948094032, 6.640854619190882e-5]]","(1:1:6,)"
"[[0.0023217567099415247, -0.0691714538160102, 4.260400022569804e-5], [0.0021744604465794605, -0.06926750161285569, 3.8159885788180074e-5]]","(1:1:6,)"
"[[0.0020670254932189055, -0.06544129371327041, 3.526346500242359e-8], [0.0019344812564066405, -0.06547772047087355, 1.4768368805065278e-5]]","(1:1:6,)"
"[[0.001817687243527759, -0.0615428654489102, -2.9985691031582164e-5], [0.0017038213132753786, -0.06160344099770935, -2.34929437727394e-6]]","(1:1:6,)"
"[[0.0019390372696880987, -0.05951971387634573, -4.876861259230693e-5], [0.0018345556457402164, -0.05935885930006506, -1.3917071578534965e-5]]","(1:1:6,)"
"[[0.0017074922303186846, -0.0562209205025883, -6.083029313918731e-5], [0.0016226735785377945, -0.05606683525020803, -2.2041334070901365e-5]]","(1:1:6,)"
"[[0.0014874135838102288, -0.052794037732049055, -6.647827346623822e-5], [0.0014221768750759198, -0.05271045563414194, -2.695876499677646e-5]]","(1:1:6,)"
"[[0.0015456119108207202, -0.049494536089081775, -6.713712087964846e-5], [0.001489681514076683, -0.049276624692265646, -2.9458167469002192e-5]]","(1:1:6,)"
"[[0.0013548029860861756, -0.04670259702078743, -6.465722073076246e-5], [0.001314628915614338, -0.046519373046879024, -3.0273413879506354e-5]]","(1:1:6,)"
"[[0.0011761308747495719, -0.04381592058605314, -5.9832830783141824e-5], [0.0011503288015805553, -0.043714495095144044, -2.9916415390636536e-5]]","(1:1:6,)"
"[[0.0012007360852676347, -0.04005676725602054, -5.36887404247018e-5], [0.001180270716969602, -0.03987093419070725, -2.6844370212907557e-5]]","(1:1:6,)"
"[[0.0010524107107516055, -0.03777715820489669, -4.663232788746167e-5], [0.0010416782042442056, -0.037629946722997014, -2.3316163943912765e-5]]","(1:1:6,)"
"[[0.0009142842142296253, -0.03542706511764779, -3.9396320148119576e-5], [0.0009119742249679875, -0.03535350883795703, -1.9698160073901908e-5]]","(1:1:6,)"
"[[0.000920862807480041, -0.03170992534665429, -3.260297952156762e-5], [0.0009199747535339161, -0.03157917392046301, -1.6301489761448917e-5]]","(1:1:6,)"
"[[0.0008092942432202241, -0.02990172023245344, -2.5963998661819075e-5], [0.0008131331144848979, -0.02980243993680463, -1.2981999331343472e-5]]","(1:1:6,)"
"[[0.0007052797140191958, -0.028039803669213326, -2.000253246334805e-5], [0.0007130711574368955, -0.027998685082815656, -1.00012662318374e-5]]","(1:1:6,)"
"[[0.0007019595013725619, -0.02464580362631731, -1.500432371567911e-5], [0.0007086906565841492, -0.024562708682550425, -7.502161857578405e-6]]","(1:1:6,)"
"[[0.0006192952139646184, -0.023244054531038578, -1.0510727585511318e-5], [0.0006276152037784937, -0.023182573346474413, -5.2553637924333815e-6]]","(1:1:6,)"
"[[0.0005418142349176767, -0.02180034166301161, -6.809533736032074e-6], [0.0005514686946141176, -0.02178132757367642, -3.4047668676397523e-6]]","(1:1:6,)"
"[[0.0005331640659812116, -0.01886355834923481, -3.975952028490548e-6], [0.0005407288007150992, -0.018812268937011052, -1.987976011885538e-6]]","(1:1:6,)"
"[[0.00047211786331268645, -0.017796062590394325, -1.6256467809580504e-6], [0.0004797467462160403, -0.017757941040279612, -8.128233884769455e-7]]","(1:1:6,)"
"[[0.00041449129020461795, -0.01669531223027067, 1.2720685958781172e-7], [0.0004222657863836015, -0.016686887322951604, 6.36034314304812e-8]]","(1:1:6,)"
"[[0.00039345743492833363, -0.014454689871597537, 1.30806415328337e-6], [0.0004001956116814286, -0.014469111763445156, 6.540320702105255e-7]]","(1:1:6,)"
"[[0.0003479595719210275, -0.013608785893212984, 2.1584576835781666e-6], [0.0003540027425535966, -0.013623941244897277, 1.0792288361332874e-6]]","(1:1:6,)"
"[[0.0003048651750270489, -0.012736823219454128, 2.662861874639446e-6], [0.0003104642714792143, -0.012765665802971865, 1.3314309324272253e-6]]","(1:1:6,)"
"[[0.00025776119319570055, -0.011659010168099953, 2.876450588893189e-6], [0.0002659368963681598, -0.011919386859766491, 1.4382252963641855e-6]]","(1:1:6,)"
"[[0.00022280345537660384, -0.010812879237880688, 2.9153545956305913e-6], [0.00022913849272207363, -0.011026841693178751, 1.457677299481468e-6]]","(1:1:6,)"
"[[0.00019027839230162608, -0.009950270204595945, 2.80530596753822e-6], [0.0001951709458531409, -0.0101259966296138, 1.4026529852105518e-6]]","(1:1:6,)"
"[[0.00016688178211539772, -0.008967422302954256, 2.5959631627080266e-6], [0.00017131982847545956, -0.00921932627920408, 1.2979815779844038e-6]]","(1:1:6,)"
"[[0.00014100471644857716, -0.00814132896366646, 2.3221094939688013e-6], [0.00014380907624006678, -0.008310179850174392, 1.1610547438786866e-6]]","(1:1:6,)"
"[[0.00011769257113287443, -0.007319553188621574, 2.0170703312522144e-6], [0.00011928637882315326, -0.0074031479855408795, 1.0085351628108367e-6]]","(1:1:6,)"
"[[0.00010898632343816902, -0.0064632203484721595, 1.713569038181743e-6], [0.00010951099473992677, -0.006490678965993469, 8.567845180287692e-7]]","(1:1:6,)"
"[[9.14914603449691e-5, -0.005722542780090632, 1.405777295399972e-6], [9.13002425459536e-5, -0.005614405506478668, 7.028886467716334e-7]]","(1:1:6,)"
